id;comentario_inicial;padre;descripcion;usuario
1;revolutionize;panel Sleek Intelligent;Maine PCI SAS;Interactions
2;Pennsylvania dynamic bandwidth;navigate Oklahoma;Triple-buffered array;Bedfordshire Tools
3;Arizona hack;Fresh payment synthesize;Versatile seize;asymmetric EXE
4;web services;Industrial Designer Incredible Fresh Car;Principal Senior;Paraguay
5;Sleek Tuna magenta;Wells;Naira iterate;Unbranded Plastic Chips Brand Regional
6;Generic B2B;olive;facilitate Persevering;Fantastic
7;zero defect Ridges Beauty;groupware;Credit Card Account clear-thinking Frozen;parsing
8;models New Mexico District;Accountability;Aruba Chair portals;online Strategist Shirt
9;navigate redefine;generating bypassing Bypass;Plastic Movies;SMS
10;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response
