id;profesor;hora_inicio;hora_fin;dia
1;Agent;Human deposit;even-keeled Saint Helena Pound;VIERNES
2;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;SABADO
3;Ports Manager Fish;Networked;Fish;SABADO
4;local area network Benin;turn-key dedicated;Wisconsin;MIERCOLES
5;dot-com payment Libyan Dinar;white sensor local;calculate;JUEVES
6;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;LUNES
7;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;LUNES
8;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;LUNES
9;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;LUNES
10;generating;Computers Small Fresh Gloves back-end;interface;JUEVES
