id;hora_inicio;hora_fin;dia;profesor;estudiante;tomada
1;backing up;Iran;MIERCOLES;Strategist;card Licensed Cotton Ball;false
2;bypass Ameliorated;Brand;JUEVES;Enterprise-wide Benin;Tuna Response invoice;true
3;payment e-markets system;Organic;SABADO;Wooden Ergonomic Steel Gloves;Developer Shoes Music;true
4;online e-business;systems integrate;JUEVES;implement;Optimization Cambridgeshire;true
5;Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;LUNES;Station;parsing Investment Account;true
6;invoice teal analyzing;Fantastic;VIERNES;Handcrafted Plastic Shirt quantifying;wireless;false
7;Avon;Rupiah Personal Loan Account HTTP;JUEVES;quantify multi-byte;interface Cotton Robust;true
8;JSON Texas;bandwidth;LUNES;Berkshire navigating;superstructure;false
9;Small Frozen Salad bypassing;time-frame Quality;SABADO;methodical;Pakistan;false
10;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;SABADO;program Auto Loan Account Refined;infomediaries;false
